user_id,item_id,view_mode,rating,timestamp,view_mode_encoded,implicit_score
103,134,view,4,2026-01-06 00:51:47.306638,2,1
436,165,view,5,2026-01-06 00:50:47.306638,2,1
861,190,add_to_cart,4,2026-01-06 00:49:47.306638,0,2
271,101,view,3,2026-01-06 00:48:47.306638,2,1
107,134,view,1,2026-01-06 00:47:47.306638,2,1
72,181,add_to_cart,3,2026-01-06 00:46:47.306638,0,2
701,177,view,1,2026-01-06 00:45:47.306638,2,1
21,119,purchase,2,2026-01-06 00:44:47.306638,1,3
615,181,view,4,2026-01-06 00:43:47.306638,2,1
122,109,view,2,2026-01-06 00:42:47.306638,2,1
467,124,view,2,2026-01-06 00:41:47.306638,2,1
215,165,add_to_cart,1,2026-01-06 00:40:47.306638,0,2
331,124,view,3,2026-01-06 00:39:47.306638,2,1
459,153,view,5,2026-01-06 00:38:47.306638,2,1
88,132,purchase,1,2026-01-06 00:37:47.306638,1,3
373,135,view,5,2026-01-06 00:36:47.306638,2,1
100,194,view,2,2026-01-06 00:35:47.306638,2,1
872,113,view,5,2026-01-06 00:34:47.306638,2,1
664,164,view,3,2026-01-06 00:33:47.306638,2,1
131,179,add_to_cart,1,2026-01-06 00:32:47.306638,0,2
662,153,view,3,2026-01-06 00:31:47.306638,2,1
309,151,view,3,2026-01-06 00:30:47.306638,2,1
770,102,view,1,2026-01-06 00:29:47.306638,2,1
344,198,add_to_cart,3,2026-01-06 00:28:47.306638,0,2
492,140,view,4,2026-01-06 00:27:47.306638,2,1
414,105,view,4,2026-01-06 00:26:47.306638,2,1
806,124,view,4,2026-01-06 00:25:47.306638,2,1
386,112,view,5,2026-01-06 00:24:47.306638,2,1
192,197,view,3,2026-01-06 00:23:47.306638,2,1
277,107,view,1,2026-01-06 00:22:47.306638,2,1
161,120,add_to_cart,1,2026-01-06 00:21:47.306638,0,2
460,197,view,5,2026-01-06 00:20:47.306638,2,1
314,167,purchase,1,2026-01-06 00:19:47.306638,1,3
22,124,purchase,4,2026-01-06 00:18:47.306638,1,3
253,178,view,3,2026-01-06 00:17:47.306638,2,1
748,167,view,1,2026-01-06 00:16:47.306638,2,1
857,144,view,1,2026-01-06 00:15:47.306638,2,1
561,159,add_to_cart,2,2026-01-06 00:14:47.306638,0,2
475,111,view,2,2026-01-06 00:13:47.306638,2,1
59,131,view,2,2026-01-06 00:12:47.306638,2,1
511,195,view,3,2026-01-06 00:11:47.306638,2,1
682,191,add_to_cart,4,2026-01-06 00:10:47.306638,0,2
476,112,add_to_cart,4,2026-01-06 00:09:47.306638,0,2
700,130,view,4,2026-01-06 00:08:47.306638,2,1
783,177,add_to_cart,3,2026-01-06 00:07:47.306638,0,2
190,119,view,3,2026-01-06 00:06:47.306638,2,1
687,117,view,2,2026-01-06 00:05:47.306638,2,1
563,192,purchase,1,2026-01-06 00:04:47.306638,1,3
876,159,view,5,2026-01-06 00:03:47.306638,2,1
567,162,view,5,2026-01-06 00:02:47.306638,2,1
244,105,view,1,2026-01-06 00:01:47.306638,2,1
832,131,purchase,2,2026-01-06 00:00:47.306638,1,3
505,192,add_to_cart,1,2026-01-05 23:59:47.306638,0,2
131,142,add_to_cart,1,2026-01-05 23:58:47.306638,0,2
485,101,add_to_cart,5,2026-01-05 23:57:47.306638,0,2
819,159,view,2,2026-01-05 23:56:47.306638,2,1
647,122,view,3,2026-01-05 23:55:47.306638,2,1
21,182,view,5,2026-01-05 23:54:47.306638,2,1
841,130,view,3,2026-01-05 23:53:47.306638,2,1
167,104,view,2,2026-01-05 23:52:47.306638,2,1
274,182,purchase,1,2026-01-05 23:51:47.306638,1,3
388,133,view,4,2026-01-05 23:50:47.306638,2,1
601,109,view,4,2026-01-05 23:49:47.306638,2,1
316,188,view,2,2026-01-05 23:48:47.306638,2,1
14,101,view,4,2026-01-05 23:47:47.306638,2,1
242,110,purchase,3,2026-01-05 23:46:47.306638,1,3
777,149,view,4,2026-01-05 23:45:47.306638,2,1
346,130,view,2,2026-01-05 23:44:47.306638,2,1
565,155,add_to_cart,2,2026-01-05 23:43:47.306638,0,2
898,178,view,3,2026-01-05 23:42:47.306638,2,1
340,172,view,4,2026-01-05 23:41:47.306638,2,1
92,186,view,4,2026-01-05 23:40:47.306638,2,1
367,182,view,1,2026-01-05 23:39:47.306638,2,1
455,108,purchase,5,2026-01-05 23:38:47.306638,1,3
428,198,add_to_cart,2,2026-01-05 23:37:47.306638,0,2
509,120,view,1,2026-01-05 23:36:47.306638,2,1
776,172,add_to_cart,2,2026-01-05 23:35:47.306638,0,2
35,127,view,1,2026-01-05 23:34:47.306638,2,1
206,161,view,5,2026-01-05 23:33:47.306638,2,1
81,106,view,1,2026-01-05 23:32:47.306638,2,1
562,179,view,2,2026-01-05 23:31:47.306638,2,1
872,115,view,4,2026-01-05 23:30:47.306638,2,1
388,196,add_to_cart,2,2026-01-05 23:29:47.306638,0,2
2,103,purchase,3,2026-01-05 23:28:47.306638,1,3
390,103,view,3,2026-01-05 23:27:47.306638,2,1
566,139,view,3,2026-01-05 23:26:47.306638,2,1
106,116,view,3,2026-01-05 23:25:47.306638,2,1
772,200,view,5,2026-01-05 23:24:47.306638,2,1
822,151,view,4,2026-01-05 23:23:47.306638,2,1
477,192,view,4,2026-01-05 23:22:47.306638,2,1
703,151,add_to_cart,2,2026-01-05 23:21:47.306638,0,2
402,135,view,1,2026-01-05 23:20:47.306638,2,1
730,137,view,2,2026-01-05 23:19:47.306638,2,1
556,149,view,2,2026-01-05 23:18:47.306638,2,1
162,162,view,2,2026-01-05 23:17:47.306638,2,1
202,200,view,2,2026-01-05 23:16:47.306638,2,1
270,162,add_to_cart,4,2026-01-05 23:15:47.306638,0,2
863,161,view,1,2026-01-05 23:14:47.306638,2,1
816,198,add_to_cart,2,2026-01-05 23:13:47.306638,0,2
271,106,view,4,2026-01-05 23:12:47.306638,2,1
456,126,view,2,2026-01-05 23:11:47.306638,2,1
462,191,view,3,2026-01-05 23:10:47.306638,2,1
727,185,add_to_cart,2,2026-01-05 23:09:47.306638,0,2
252,113,view,2,2026-01-05 23:08:47.306638,2,1
702,170,add_to_cart,5,2026-01-05 23:07:47.306638,0,2
296,200,view,3,2026-01-05 23:06:47.306638,2,1
725,185,add_to_cart,1,2026-01-05 23:05:47.306638,0,2
720,104,view,2,2026-01-05 23:04:47.306638,2,1
749,154,add_to_cart,1,2026-01-05 23:03:47.306638,0,2
338,101,view,3,2026-01-05 23:02:47.306638,2,1
879,161,purchase,2,2026-01-05 23:01:47.306638,1,3
53,190,view,5,2026-01-05 23:00:47.306638,2,1
792,120,view,4,2026-01-05 22:59:47.306638,2,1
922,178,view,5,2026-01-05 22:58:47.306638,2,1
217,120,add_to_cart,5,2026-01-05 22:57:47.306638,0,2
764,109,view,4,2026-01-05 22:56:47.306638,2,1
188,186,add_to_cart,4,2026-01-05 22:55:47.306638,0,2
380,157,view,4,2026-01-05 22:54:47.306638,2,1
493,138,view,2,2026-01-05 22:53:47.306638,2,1
41,104,view,1,2026-01-05 22:52:47.306638,2,1
157,164,purchase,1,2026-01-05 22:51:47.306638,1,3
15,112,add_to_cart,4,2026-01-05 22:50:47.306638,0,2
813,184,purchase,5,2026-01-05 22:49:47.306638,1,3
65,189,view,3,2026-01-05 22:48:47.306638,2,1
857,184,add_to_cart,4,2026-01-05 22:47:47.306638,0,2
839,152,add_to_cart,5,2026-01-05 22:46:47.306638,0,2
521,181,view,5,2026-01-05 22:45:47.306638,2,1
344,200,add_to_cart,2,2026-01-05 22:44:47.306638,0,2
129,144,purchase,2,2026-01-05 22:43:47.306638,1,3
648,131,purchase,1,2026-01-05 22:42:47.306638,1,3
472,135,add_to_cart,1,2026-01-05 22:41:47.306638,0,2
63,180,view,3,2026-01-05 22:40:47.306638,2,1
139,198,view,3,2026-01-05 22:39:47.306638,2,1
499,159,purchase,3,2026-01-05 22:38:47.306638,1,3
593,110,view,3,2026-01-05 22:37:47.306638,2,1
392,162,add_to_cart,5,2026-01-05 22:36:47.306638,0,2
675,120,add_to_cart,5,2026-01-05 22:35:47.306638,0,2
419,151,add_to_cart,1,2026-01-05 22:34:47.306638,0,2
289,154,purchase,2,2026-01-05 22:33:47.306638,1,3
379,125,view,2,2026-01-05 22:32:47.306638,2,1
773,167,view,4,2026-01-05 22:31:47.306638,2,1
490,133,view,5,2026-01-05 22:30:47.306638,2,1
231,151,view,3,2026-01-05 22:29:47.306638,2,1
41,181,view,3,2026-01-05 22:28:47.306638,2,1
28,198,view,4,2026-01-05 22:27:47.306638,2,1
135,192,add_to_cart,2,2026-01-05 22:26:47.306638,0,2
201,151,purchase,3,2026-01-05 22:25:47.306638,1,3
840,128,view,2,2026-01-05 22:24:47.306638,2,1
780,137,view,4,2026-01-05 22:23:47.306638,2,1
33,141,purchase,2,2026-01-05 22:22:47.306638,1,3
