user_id,item_id,view_mode,rating,timestamp
103,134,view,4,2026-01-06 00:51:47.306638
436,165,view,5,2026-01-06 00:50:47.306638
861,190,add_to_cart,4,2026-01-06 00:49:47.306638
271,101,view,3,2026-01-06 00:48:47.306638
107,134,view,1,2026-01-06 00:47:47.306638
72,181,add_to_cart,3,2026-01-06 00:46:47.306638
701,177,view,1,2026-01-06 00:45:47.306638
21,119,purchase,2,2026-01-06 00:44:47.306638
615,181,view,4,2026-01-06 00:43:47.306638
122,109,view,2,2026-01-06 00:42:47.306638
467,124,view,2,2026-01-06 00:41:47.306638
215,165,add_to_cart,1,2026-01-06 00:40:47.306638
331,124,view,3,2026-01-06 00:39:47.306638
459,153,view,5,2026-01-06 00:38:47.306638
88,132,purchase,1,2026-01-06 00:37:47.306638
373,135,view,5,2026-01-06 00:36:47.306638
100,194,view,2,2026-01-06 00:35:47.306638
872,113,view,5,2026-01-06 00:34:47.306638
664,164,view,3,2026-01-06 00:33:47.306638
131,179,add_to_cart,1,2026-01-06 00:32:47.306638
662,153,view,3,2026-01-06 00:31:47.306638
309,151,view,3,2026-01-06 00:30:47.306638
770,102,view,1,2026-01-06 00:29:47.306638
344,198,add_to_cart,3,2026-01-06 00:28:47.306638
492,140,view,4,2026-01-06 00:27:47.306638
414,105,view,4,2026-01-06 00:26:47.306638
806,124,view,4,2026-01-06 00:25:47.306638
386,112,view,5,2026-01-06 00:24:47.306638
192,197,view,3,2026-01-06 00:23:47.306638
277,107,view,1,2026-01-06 00:22:47.306638
161,120,add_to_cart,1,2026-01-06 00:21:47.306638
460,197,view,5,2026-01-06 00:20:47.306638
314,167,purchase,1,2026-01-06 00:19:47.306638
22,124,purchase,4,2026-01-06 00:18:47.306638
253,178,view,3,2026-01-06 00:17:47.306638
748,167,view,1,2026-01-06 00:16:47.306638
857,144,view,1,2026-01-06 00:15:47.306638
561,159,add_to_cart,2,2026-01-06 00:14:47.306638
475,111,view,2,2026-01-06 00:13:47.306638
59,131,view,2,2026-01-06 00:12:47.306638
511,195,view,3,2026-01-06 00:11:47.306638
682,191,add_to_cart,4,2026-01-06 00:10:47.306638
476,112,add_to_cart,4,2026-01-06 00:09:47.306638
700,130,view,4,2026-01-06 00:08:47.306638
783,177,add_to_cart,3,2026-01-06 00:07:47.306638
190,119,view,3,2026-01-06 00:06:47.306638
687,117,view,2,2026-01-06 00:05:47.306638
563,192,purchase,1,2026-01-06 00:04:47.306638
876,159,view,5,2026-01-06 00:03:47.306638
567,162,view,5,2026-01-06 00:02:47.306638
244,105,view,1,2026-01-06 00:01:47.306638
832,131,purchase,2,2026-01-06 00:00:47.306638
505,192,add_to_cart,1,2026-01-05 23:59:47.306638
131,142,add_to_cart,1,2026-01-05 23:58:47.306638
485,101,add_to_cart,5,2026-01-05 23:57:47.306638
819,159,view,2,2026-01-05 23:56:47.306638
647,122,view,3,2026-01-05 23:55:47.306638
21,182,view,5,2026-01-05 23:54:47.306638
841,130,view,3,2026-01-05 23:53:47.306638
167,104,view,2,2026-01-05 23:52:47.306638
274,182,purchase,1,2026-01-05 23:51:47.306638
388,133,view,4,2026-01-05 23:50:47.306638
601,109,view,4,2026-01-05 23:49:47.306638
316,188,view,2,2026-01-05 23:48:47.306638
14,101,view,4,2026-01-05 23:47:47.306638
242,110,purchase,3,2026-01-05 23:46:47.306638
777,149,view,4,2026-01-05 23:45:47.306638
346,130,view,2,2026-01-05 23:44:47.306638
565,155,add_to_cart,2,2026-01-05 23:43:47.306638
898,178,view,3,2026-01-05 23:42:47.306638
340,172,view,4,2026-01-05 23:41:47.306638
92,186,view,4,2026-01-05 23:40:47.306638
367,182,view,1,2026-01-05 23:39:47.306638
455,108,purchase,5,2026-01-05 23:38:47.306638
428,198,add_to_cart,2,2026-01-05 23:37:47.306638
509,120,view,1,2026-01-05 23:36:47.306638
776,172,add_to_cart,2,2026-01-05 23:35:47.306638
35,127,view,1,2026-01-05 23:34:47.306638
206,161,view,5,2026-01-05 23:33:47.306638
81,106,view,1,2026-01-05 23:32:47.306638
562,179,view,2,2026-01-05 23:31:47.306638
872,115,view,4,2026-01-05 23:30:47.306638
388,196,add_to_cart,2,2026-01-05 23:29:47.306638
2,103,purchase,3,2026-01-05 23:28:47.306638
390,103,view,3,2026-01-05 23:27:47.306638
566,139,view,3,2026-01-05 23:26:47.306638
106,116,view,3,2026-01-05 23:25:47.306638
772,200,view,5,2026-01-05 23:24:47.306638
822,151,view,4,2026-01-05 23:23:47.306638
477,192,view,4,2026-01-05 23:22:47.306638
703,151,add_to_cart,2,2026-01-05 23:21:47.306638
402,135,view,1,2026-01-05 23:20:47.306638
730,137,view,2,2026-01-05 23:19:47.306638
556,149,view,2,2026-01-05 23:18:47.306638
162,162,view,2,2026-01-05 23:17:47.306638
202,200,view,2,2026-01-05 23:16:47.306638
270,162,add_to_cart,4,2026-01-05 23:15:47.306638
